原文,原AI标签,LLM置信度(1-5),LLM理由,LLM建议标签,人工修正标签,平台
"今日，大疆发布
DJI 飞行眼镜竞速版
（DJI Goggles RE），为无人机竞技者、航模爱好者和遥控模型爱好者提供高清的FPV竞速体验。DJI 飞行眼镜竞速版拥有全新配色及质感出众的皮质材料，它不仅继承DJI 飞行眼镜所有功能，更新增了全景图片浏览、本地视频文件播放功能，影音娱乐体验全面升级。
DJI 飞行眼镜竞速版 - 冲破束缚
更畅快更清晰，沉浸式FPV竞速版体验
DJI 飞行眼镜竞速版搭配OcuSync双频数字图传模块及相机模块，DJI OcuSync天空端
[1]
（即图传模块），支持2.4/5.8GHz双频数字图像传输，并且带来了低至50ms
[2]
的延时及远达7公里
[3]
的图传距离，可适配一系列多旋翼、固定翼航模，体验一场视野宽广、画面清晰、操控高效、畅爽刺激的FPV飞行。
FPV飞行体验
DJI OcuSync天空端系统具备高于模拟图传格式的1280×960p 50fps的画面
[4]
、超低延时、自动跳频技术、最多支持12个固定信道
[5]
等诸多特性，带给用户坐进“驾驶舱”的畅爽操控感。
DJI OcuSync图传模块
DJI OcuSync天空端可同时连接两台飞行眼镜，竞速飞行时，观看者可获得与选手同样的视角，体验疾速狂飙的快感；或同时连接一个“御”Mavic Pro遥控器
[6]
和一台飞行眼镜，通过智能设备的App获取画面，体验身临其境的飞行。
DJI OcuSync相机模块
DJI OcuSync相机
[7]
是与DJI OcuSync天空端搭配的外置相机模块，可以安装在其他多旋翼飞行器和固定翼飞行器上。该相机配备1/3英寸图像传感器，飞行画面清晰度远高于市面上模拟图传FPV眼镜；采用全局快门，有效减少高频振动带来的果冻效应，让画面还原度更高；搭配148°FOV宽视角镜头，带来广阔而真实的飞行画面。借助这些出色的特性，你将可以更精细地操",正面,5,帖子内容为产品发布介绍，通篇使用“高清”“畅快”“升级”等褒义词描述产品功能与体验，无任何批评或负面评价，符合正面情感定义。,正面,,微信公众号
"“电量焦虑”是摄影师尤其是航拍摄影师常见“心病”之一，具体“症状”表现就是在拍
摄工作中时不时忧虑
“还有多少电？几时要换电？充没充上电？”，在不方便找电源的户外进行拍摄时，“症状”尤其强烈。
DJI Power 1000
针
对这一痛点，DJI
推出了具备多接口、尤其能为
DJI生态进行快速充电的DJI Power系列户外电源，
实际充电效果如何？DJ
I Power加上
DJI生态能有啥化学反应？
能否真的缓解
“电量焦虑”
？带着这些问题，让我们一起去了解这款产品。
DJI Power 1000
开箱上手
DJI Power系列户外电源目前共有两款产品，分别是主打便携的DJI Power 500和更高容量的DJI Power 1000。我们手头的这款产品是DJI Power 1000，具有1024wh容量，也就是所谓的1度电，小伙伴们可选择只包含主机和交流电充电线的标配套装。
标配套装
多一点预算，也可以选择包含太阳能板和转接模块、收纳保护包等附件的套装。不仅如此，根据具体使用需求，还可以选购Inspire 3、Mavic 3、Air 3等无人机电池可用的快充线，外出拍摄时就能对电池进行快速充电，大大延长单次外出的有效飞行时间。
含有丰富配件的套装
DJI Power 1000主机重量为13千克，长宽高分别为448x225x230mm，机身两侧有两个把手，裸机状态下可单手拎起搬运，双手搬运则会轻松很多。
单手搬运
如果选购了收纳保护包，还可将主机装到收纳包中，既方便搬运，又防尘、防刮、防水滴溅。收纳包采用了可打开面板和两侧的设计，无需将DJI Power 1000取出就能实现对电源的充电、放电和散热。这款收纳包的颜值很高，对于
设备
保护有强迫症的小伙伴一定要入手。
收纳保护包
选购的太阳能板可在户外为DJI Power环保充电，单块太阳能板充电输出功率最高可达120",正面,5,帖子内容客观介绍DJI Power系列户外电源如何解决航拍摄影师的“电量焦虑”痛点，并详细展示产品功能和开箱体验，整体语气推荐、无批评或负面评价，符合正面情感定义。,正面,,微信公众号
"不知道从什么时候开始，我们对大疆新品的“突破性”升级已经习以为常，如果某款旗舰型号没有令人眼前一亮的
killer feature
，似乎这就不够大疆！于是，当我们看到悟
3
纸面参数时，全画幅传感器、
8K RAW
录制、
O3 Pro+4G
图传，第一感觉是这些升级似乎都理所应当，悟
3
就升级了这些？
带着这些疑问，我们和国内知名摄影指导赵晓时、赵小丁以及刘寅等老师一起参加了大疆在横店举行的新品体验会，一起在实景片场体验了大疆的最新影视航拍旗舰。我们熟知赵小丁老师多年，他是国内摄影师中对新技术极其敏感的代表，从最早的数字摄影机、
4K
电影机以及直升机影视航拍，小丁老师都是第一时间应用到自己的拍摄项目中。时隔近十年，我们还清晰的记得当初看到小丁老师拍摄的中国第一部全流程
4K
主流院线电影的震撼感受。赵小丁老师从
2018
年拍摄《影》的时候就开始用禅思
X5+
悟
2
的组合，他如何看待悟
3
耗时七年给影视行业交来的最新作业是我们关注的重点。
知名摄影指导们现场与Inspire3合照
直击痛点
回顾悟系列航拍无人机的迭代历史，悟
1
通过一体化可变形机身和
360
度环拍云台整合了传统上分离的飞行、图传和高质量影像拍摄系统，悟
2
通过迭代相机云台
X5
到
X7
，让航拍无人机具备了
S35
规格传感器、内录
RAW
格式等电影级配置，成为了真正意义上能飞行的电影机，让昂贵的直升机航拍和复杂的多旋翼重载无人机加电影机的组合方式逐渐成为小众，每一步迭代都直击了影视工业航拍环节的痛点。
悟
3
的发布又会解决哪些痛点？摄影指导们最关注哪些功能？在体验会现场，摄影指导们不约而同都对悟
3
的航点飞行
Pro
功能表示了极大的关注，传统的航点飞行功能再结合厘米级精度的
RTK
定位，让悟
3
可模拟伸缩炮、索道和轨道的拍摄效果，相当于在空间中设置了一条无形的
3D
轨道",负面,1,帖子内容是对大疆悟3新品的体验报道，全文以赞赏和期待的语气描述产品升级及知名摄影师的正面评价，属于推荐和赞美倾向，AI误判为负面。,正面,,微信公众号
"去年 10 月，大疆发布了御 Mavic Mini。发布之后，产品深受大众消费者的喜爱，已经帮助许多人实现了他们的航拍梦。
时隔一年，大疆在 11 月 5 日带来了升级之作 DJI Mini 2（下文简称 Mini 2）。在延续了 Mini 系列「249 克」、「极致便携」等核心优势的基础上，Mini 2 的飞行性能、图传性能、相机性能、智能功能等方面有了全面提升。
来一场说走就走的旅行，上周我们前往了地处粤东的国家历史文化名城 —— 潮州。身为无人机「小白」的我，谈谈如何用 DJI Mini 2 打开航拍新视界。
DJI Mini 2 4K 拍摄，部分画质受平台压缩
硬件设计
Mini 2 延续了前作御 Mavic Mini 的设计语言，折叠式的机身设计与前代基本保持一致，机身仍几乎全部使用塑料材质。
与前作一样，Mini 2 的脚架仍较短，在日常飞行中我们每次起飞的地面不一定都是平整光滑的，所以需要特别注意保护飞机的摄像头，避免磕碰。
在附带的配件上，Mini 2 配备了和 Mavic Air 2 同款且能通用的遥控器。
这款全新设计的遥控器，采用人体工程学设计，实测下来 Mini 2 整体操控手感细腻顺滑，更加适合新手操控飞行。同时，新的夹持结构设计能够更好地适配大部分全面屏手机。
虽然 Mini 2 的遥控器比前代整体外观上大了很多，但换来的是更长的续航时间，大大提高了飞行拍摄的安全性。在这几天高强度的拍摄过程中，我的遥控器没有充电，但是电量仍有剩余。
套装版配备了三块电池和电池管家，电池安装方式仍采用「后置式」，值得一提的是前代的电池在 Mini 2 上依旧可以通用。
今年 Mini 2 配备的收纳包也进行了升级。对比前代收纳包，新款的收纳包在外出游玩时，收纳和携带更加方便快捷。
除了设计上的延续，Mini 2 的大小和重量也跟前作看齐。紧凑式机身的 Mini 2",负面,1,帖子整体是对 DJI Mini 2 的详细介绍和正面体验分享，虽有提及脚架较短等小细节，但属于客观描述而非批评，整体情感倾向为推荐和赞美。,正面,,微信公众号
"上月预售的
DJI飞行眼镜
（点击蓝字了解详情）
近日已陆续发货，你是否收到了期待已久的DJI Goggles？为了让大家在第一时间了解这款新品，疆哥带来《DJI Goggles体验快报》，从
操控性
、
显示性
和
应用性
三方面为你展示DJI Goggles的产品特性，让你知道戴上DJI Goggles之后的视界到底有什么大不同。
操控性
“释放双手”
▊ 所见即所得
DJI Goggles简化手动操作，简单几步即可完成拍摄，而且
你所看见的，就是你将捕捉到的画面，让拍摄更简单、更直接。
1. 体感对焦：在拍摄时，点击DJI
Goggles机身侧方的Fn按钮，就可以通过
头部运动
直接选择对焦点，拍摄清晰图像。
DJI Goggles画面实录
2. 控制拍摄：在拍摄时，直接在
DJI
Goggles中通过触摸板即可调节快门、感光度等参数，也可以设置拍摄模式和录像分辨率等参数。
DJI Goggles画面实录
▊
体感控制模式
为了更好地模拟高空飞行视角，DJI Goggles采用体感控制模式
（体感控制云台或飞行）
，以头部运动控制图传画面同步变化，还原更真实的临场感受！
1. 体感控制云台：通过头部运动，控制飞行器的云台
相机
的俯仰和小范围
航向
。
2. 体感控制飞行：通过头部运动，控制飞行器的
飞行
航向和云台相机的俯仰。
*此处在小伙伴的陪伴下协助操作。疆哥友情提醒：在佩戴DJI Goggles做FPV飞行时，务必有人陪同并在其视距范围内飞行。
▊
智能飞行功能
丰富的智能飞行功能，能为你的双手腾出更多空间，提高了DJI Goggles操控飞行的易用性。
你只需在触控板区域内用手指滑动进入智能飞行模式，点击指点飞行后，使用体感控制指点飞行方向，即可轻松操控飞行器完成飞行动作，
体验自如穿梭的快感。
DJI Goggles画面实录
Mavic Pro最新的固定翼",正面,5,帖子内容为产品功能介绍和体验快报，语气积极推荐，无任何批评或负面评价，符合正面情感定义。,正面,,微信公众号
"还记得你第一次见到 DJI 产品时的情景吗？从成立至今，DJI 走到第 11 年，
贴心的大疆服务
整理了这 11 年的笔记，带你快速回顾 DJI 产品发展史，重温这些产品第一次进入大众视野的经典时刻。
十一年，上百件产品，数千件发明专利。在
这些已成
历史的数字背后，不仅是越来越成熟和智能化的无人机技术，更重要的是：DJI 有了你的一份关注和支持。
精彩还在继续，DJI 希望和你继续一同见证：未来无所不能。
你印象最深的 DJI 产品是什么
？来
留言区
告诉疆哥吧，点击底部“
阅读原文
”，用 DJI 换个角度看世界。
航拍精选
Wild rocks on Duni Bulgaria",正面,5,帖子内容为DJI官方发布的品牌回顾与产品推广，通篇使用赞美、感谢和展望未来的积极措辞，无任何批评或负面信息，AI标注准确。,正面,,微信公众号
"每一次与DJI对话都让我们又重新思考这一问题。
曾经，动态影像的语言就是推拉摇移，是基于摄像机本身的技术特点来产生而由摄影师的技艺来完成。这一语言（大部分时间）是固定视点的。
从移动镜头产生的那一天，创作者就为影像的移动投入了一代代人的努力，为了实现镜头运动，花了很多的人力和机械。
然而——对运动效果要求越高，则机械结构越复杂，完成效率越低——这三位一体的矛盾始终存在于每个拍摄现场，直到（电子）稳定器的产生。
电子稳定器其实是用一种控制器的方法，让无刷电机来驱动摄像机和镜头进行运动，这一方法先天有着智能化的基因，而其智能化的演进速度超过了历史上任何一种影像设备。这种种特点无法不让我们想到另一个智能终端——手机的发展历程和对我们人类的影响。
于是，在距离上一次在BIRTV上与DJI对话快一年的时候，上一次和谢阗地对谈影像未来时留下的很多问题，在这次的发布会上DJI Pro都用产品给出了事实的答案，今天的RS2已经成为一个智慧型云台，成为影像移动的核心。",正面,5,帖子全文以赞赏和肯定的语气描述DJI产品（RS2智慧型云台）的技术演进与行业贡献，无任何批评或负面表述，符合多维度情感分析中“整体情感正面”的定义。[[concepts/sentiment-analysis-dimensions.md]],正面,,微信公众号
"今日，大疆发布
DJI 飞行眼镜竞速版
（DJI Goggles RE），为无人机竞技者、航模爱好者和遥控模型爱好者提供高清的FPV竞速体验。DJI 飞行眼镜竞速版拥有全新配色及质感出众的皮质材料，它不仅继承DJI 飞行眼镜所有功能，更新增了全景图片浏览、本地视频文件播放功能，影音娱乐体验全面升级。
DJI 飞行眼镜竞速版 - 冲破束缚
更畅快更清晰，沉浸式FPV竞速版体验
DJI 飞行眼镜竞速版搭配OcuSync双频数字图传模块及相机模块，DJI OcuSync天空端
[1]
（即图传模块），支持2.4/5.8GHz双频数字图像传输，并且带来了低至50ms
[2]
的延时及远达7公里
[3]
的图传距离，可适配一系列多旋翼、固定翼航模，体验一场视野宽广、画面清晰、操控高效、畅爽刺激的FPV飞行。
FPV飞行体验
DJI OcuSync天空端系统具备高于模拟图传格式的1280×960p 50fps的画面
[4]
、超低延时、自动跳频技术、最多支持12个固定信道
[5]
等诸多特性，带给用户坐进“驾驶舱”的畅爽操控感。
DJI OcuSync图传模块
DJI OcuSync天空端可同时连接两台飞行眼镜，竞速飞行时，观看者可获得与选手同样的视角，体验疾速狂飙的快感；或同时连接一个“御”Mavic Pro遥控器
[6]
和一台飞行眼镜，通过智能设备的App获取画面，体验身临其境的飞行。
DJI OcuSync相机模块
DJI OcuSync相机
[7]
是与DJI OcuSync天空端搭配的外置相机模块，可以安装在其他多旋翼飞行器和固定翼飞行器上。该相机配备1/3英寸图像传感器，飞行画面清晰度远高于市面上模拟图传FPV眼镜；采用全局快门，有效减少高频振动带来的果冻效应，让画面还原度更高；搭配148°FOV宽视角镜头，带来广阔而真实的飞行画面。借助这些出色的特性，你将可以更精细地操",正面,5,帖子内容为产品发布介绍，通篇使用“高清”“畅快”“升级”等褒义词描述功能与体验，无任何批评或负面评价，符合正面情感定义。,正面,,微信公众号
"“电量焦虑”是摄影师尤其是航拍摄影师常见“心病”之一，具体“症状”表现就是在拍
摄工作中时不时忧虑
“还有多少电？几时要换电？充没充上电？”，在不方便找电源的户外进行拍摄时，“症状”尤其强烈。
DJI Power 1000
针
对这一痛点，DJI
推出了具备多接口、尤其能为
DJI生态进行快速充电的DJI Power系列户外电源，
实际充电效果如何？DJ
I Power加上
DJI生态能有啥化学反应？
能否真的缓解
“电量焦虑”
？带着这些问题，让我们一起去了解这款产品。
DJI Power 1000
开箱上手
DJI Power系列户外电源目前共有两款产品，分别是主打便携的DJI Power 500和更高容量的DJI Power 1000。我们手头的这款产品是DJI Power 1000，具有1024wh容量，也就是所谓的1度电，小伙伴们可选择只包含主机和交流电充电线的标配套装。
标配套装
多一点预算，也可以选择包含太阳能板和转接模块、收纳保护包等附件的套装。不仅如此，根据具体使用需求，还可以选购Inspire 3、Mavic 3、Air 3等无人机电池可用的快充线，外出拍摄时就能对电池进行快速充电，大大延长单次外出的有效飞行时间。
含有丰富配件的套装
DJI Power 1000主机重量为13千克，长宽高分别为448x225x230mm，机身两侧有两个把手，裸机状态下可单手拎起搬运，双手搬运则会轻松很多。
单手搬运
如果选购了收纳保护包，还可将主机装到收纳包中，既方便搬运，又防尘、防刮、防水滴溅。收纳包采用了可打开面板和两侧的设计，无需将DJI Power 1000取出就能实现对电源的充电、放电和散热。这款收纳包的颜值很高，对于
设备
保护有强迫症的小伙伴一定要入手。
收纳保护包
选购的太阳能板可在户外为DJI Power环保充电，单块太阳能板充电输出功率最高可达120",正面,5,帖子内容客观介绍DJI Power系列户外电源的功能和解决“电量焦虑”的痛点，语气中性偏推荐，无批评或负面评价，符合正面情感定义。,正面,,微信公众号
"不知道从什么时候开始，我们对大疆新品的“突破性”升级已经习以为常，如果某款旗舰型号没有令人眼前一亮的
killer feature
，似乎这就不够大疆！于是，当我们看到悟
3
纸面参数时，全画幅传感器、
8K RAW
录制、
O3 Pro+4G
图传，第一感觉是这些升级似乎都理所应当，悟
3
就升级了这些？
带着这些疑问，我们和国内知名摄影指导赵晓时、赵小丁以及刘寅等老师一起参加了大疆在横店举行的新品体验会，一起在实景片场体验了大疆的最新影视航拍旗舰。我们熟知赵小丁老师多年，他是国内摄影师中对新技术极其敏感的代表，从最早的数字摄影机、
4K
电影机以及直升机影视航拍，小丁老师都是第一时间应用到自己的拍摄项目中。时隔近十年，我们还清晰的记得当初看到小丁老师拍摄的中国第一部全流程
4K
主流院线电影的震撼感受。赵小丁老师从
2018
年拍摄《影》的时候就开始用禅思
X5+
悟
2
的组合，他如何看待悟
3
耗时七年给影视行业交来的最新作业是我们关注的重点。
知名摄影指导们现场与Inspire3合照
直击痛点
回顾悟系列航拍无人机的迭代历史，悟
1
通过一体化可变形机身和
360
度环拍云台整合了传统上分离的飞行、图传和高质量影像拍摄系统，悟
2
通过迭代相机云台
X5
到
X7
，让航拍无人机具备了
S35
规格传感器、内录
RAW
格式等电影级配置，成为了真正意义上能飞行的电影机，让昂贵的直升机航拍和复杂的多旋翼重载无人机加电影机的组合方式逐渐成为小众，每一步迭代都直击了影视工业航拍环节的痛点。
悟
3
的发布又会解决哪些痛点？摄影指导们最关注哪些功能？在体验会现场，摄影指导们不约而同都对悟
3
的航点飞行
Pro
功能表示了极大的关注，传统的航点飞行功能再结合厘米级精度的
RTK
定位，让悟
3
可模拟伸缩炮、索道和轨道的拍摄效果，相当于在空间中设置了一条无形的
3D
轨道",负面,1,全文是对大疆悟3新品的客观介绍和行业专家体验报道，语气中性偏正面，无任何批评或抱怨倾向，AI误将“疑问”句式识别为负面。,正面,,微信公众号
"去年 10 月，大疆发布了御 Mavic Mini。发布之后，产品深受大众消费者的喜爱，已经帮助许多人实现了他们的航拍梦。
时隔一年，大疆在 11 月 5 日带来了升级之作 DJI Mini 2（下文简称 Mini 2）。在延续了 Mini 系列「249 克」、「极致便携」等核心优势的基础上，Mini 2 的飞行性能、图传性能、相机性能、智能功能等方面有了全面提升。
来一场说走就走的旅行，上周我们前往了地处粤东的国家历史文化名城 —— 潮州。身为无人机「小白」的我，谈谈如何用 DJI Mini 2 打开航拍新视界。
DJI Mini 2 4K 拍摄，部分画质受平台压缩
硬件设计
Mini 2 延续了前作御 Mavic Mini 的设计语言，折叠式的机身设计与前代基本保持一致，机身仍几乎全部使用塑料材质。
与前作一样，Mini 2 的脚架仍较短，在日常飞行中我们每次起飞的地面不一定都是平整光滑的，所以需要特别注意保护飞机的摄像头，避免磕碰。
在附带的配件上，Mini 2 配备了和 Mavic Air 2 同款且能通用的遥控器。
这款全新设计的遥控器，采用人体工程学设计，实测下来 Mini 2 整体操控手感细腻顺滑，更加适合新手操控飞行。同时，新的夹持结构设计能够更好地适配大部分全面屏手机。
虽然 Mini 2 的遥控器比前代整体外观上大了很多，但换来的是更长的续航时间，大大提高了飞行拍摄的安全性。在这几天高强度的拍摄过程中，我的遥控器没有充电，但是电量仍有剩余。
套装版配备了三块电池和电池管家，电池安装方式仍采用「后置式」，值得一提的是前代的电池在 Mini 2 上依旧可以通用。
今年 Mini 2 配备的收纳包也进行了升级。对比前代收纳包，新款的收纳包在外出游玩时，收纳和携带更加方便快捷。
除了设计上的延续，Mini 2 的大小和重量也跟前作看齐。紧凑式机身的 Mini 2",负面,1,帖子内容整体是对 DJI Mini 2 的客观介绍和正面体验分享，虽提及脚架短等细节，但属于产品描述而非批评，AI 误将中性描述判为负面。,正面,,微信公众号
"上月预售的
DJI飞行眼镜
（点击蓝字了解详情）
近日已陆续发货，你是否收到了期待已久的DJI Goggles？为了让大家在第一时间了解这款新品，疆哥带来《DJI Goggles体验快报》，从
操控性
、
显示性
和
应用性
三方面为你展示DJI Goggles的产品特性，让你知道戴上DJI Goggles之后的视界到底有什么大不同。
操控性
“释放双手”
▊ 所见即所得
DJI Goggles简化手动操作，简单几步即可完成拍摄，而且
你所看见的，就是你将捕捉到的画面，让拍摄更简单、更直接。
1. 体感对焦：在拍摄时，点击DJI
Goggles机身侧方的Fn按钮，就可以通过
头部运动
直接选择对焦点，拍摄清晰图像。
DJI Goggles画面实录
2. 控制拍摄：在拍摄时，直接在
DJI
Goggles中通过触摸板即可调节快门、感光度等参数，也可以设置拍摄模式和录像分辨率等参数。
DJI Goggles画面实录
▊
体感控制模式
为了更好地模拟高空飞行视角，DJI Goggles采用体感控制模式
（体感控制云台或飞行）
，以头部运动控制图传画面同步变化，还原更真实的临场感受！
1. 体感控制云台：通过头部运动，控制飞行器的云台
相机
的俯仰和小范围
航向
。
2. 体感控制飞行：通过头部运动，控制飞行器的
飞行
航向和云台相机的俯仰。
*此处在小伙伴的陪伴下协助操作。疆哥友情提醒：在佩戴DJI Goggles做FPV飞行时，务必有人陪同并在其视距范围内飞行。
▊
智能飞行功能
丰富的智能飞行功能，能为你的双手腾出更多空间，提高了DJI Goggles操控飞行的易用性。
你只需在触控板区域内用手指滑动进入智能飞行模式，点击指点飞行后，使用体感控制指点飞行方向，即可轻松操控飞行器完成飞行动作，
体验自如穿梭的快感。
DJI Goggles画面实录
Mavic Pro最新的固定翼",正面,5,帖子内容为产品功能介绍和体验快报，语气积极、推荐性强，无任何批评或负面评价，符合正面情感定义。,正面,,微信公众号
