原文,原AI标签,LLM置信度(1-5),LLM理由,LLM建议标签,人工修正标签,平台
"上月预售的
DJI飞行眼镜
（点击蓝字了解详情）
近日已陆续发货，你是否收到了期待已久的DJI Goggles？为了让大家在第一时间了解这款新品，疆哥带来《DJI Goggles体验快报》，从
操控性
、
显示性
和
应用性
三方面为你展示DJI Goggles的产品特性，让你知道戴上DJI Goggles之后的视界到底有什么大不同。
操控性
“释放双手”
▊ 所见即所得
DJI Goggles简化手动操作，简单几步即可完成拍摄，而且
你所看见的，就是你将捕捉到的画面，让拍摄更简单、更直接。
1. 体感对焦：在拍摄时，点击DJI
Goggles机身侧方的Fn按钮，就可以通过
头部运动
直接选择对焦点，拍摄清晰图像。
DJI Goggles画面实录
2. 控制拍摄：在拍摄时，直接在
DJI
Goggles中通过触摸板即可调节快门、感光度等参数，也可以设置拍摄模式和录像分辨率等参数。
DJI Goggles画面实录
▊
体感控制模式
为了更好地模拟高空飞行视角，DJI Goggles采用体感控制模式
（体感控制云台或飞行）
，以头部运动控制图传画面同步变化，还原更真实的临场感受！
1. 体感控制云台：通过头部运动，控制飞行器的云台
相机
的俯仰和小范围
航向
。
2. 体感控制飞行：通过头部运动，控制飞行器的
飞行
航向和云台相机的俯仰。
*此处在小伙伴的陪伴下协助操作。疆哥友情提醒：在佩戴DJI Goggles做FPV飞行时，务必有人陪同并在其视距范围内飞行。
▊
智能飞行功能
丰富的智能飞行功能，能为你的双手腾出更多空间，提高了DJI Goggles操控飞行的易用性。
你只需在触控板区域内用手指滑动进入智能飞行模式，点击指点飞行后，使用体感控制指点飞行方向，即可轻松操控飞行器完成飞行动作，
体验自如穿梭的快感。
DJI Goggles画面实录
Mavic Pro最新的固定翼",正面,5,帖子内容为产品功能介绍和体验快报，语气积极推荐，无任何批评或负面评价，符合正面情感定义。,正面,,微信公众号
"还记得你第一次见到 DJI 产品时的情景吗？从成立至今，DJI 走到第 11 年，
贴心的大疆服务
整理了这 11 年的笔记，带你快速回顾 DJI 产品发展史，重温这些产品第一次进入大众视野的经典时刻。
十一年，上百件产品，数千件发明专利。在
这些已成
历史的数字背后，不仅是越来越成熟和智能化的无人机技术，更重要的是：DJI 有了你的一份关注和支持。
精彩还在继续，DJI 希望和你继续一同见证：未来无所不能。
你印象最深的 DJI 产品是什么
？来
留言区
告诉疆哥吧，点击底部“
阅读原文
”，用 DJI 换个角度看世界。
航拍精选
Wild rocks on Duni Bulgaria",正面,5,帖子内容为DJI官方发布的品牌回顾与产品推广，通篇使用赞美、感谢和展望语气，无任何批评或负面表述，AI标注准确。,正面,,微信公众号
"每一次与DJI对话都让我们又重新思考这一问题。
曾经，动态影像的语言就是推拉摇移，是基于摄像机本身的技术特点来产生而由摄影师的技艺来完成。这一语言（大部分时间）是固定视点的。
从移动镜头产生的那一天，创作者就为影像的移动投入了一代代人的努力，为了实现镜头运动，花了很多的人力和机械。
然而——对运动效果要求越高，则机械结构越复杂，完成效率越低——这三位一体的矛盾始终存在于每个拍摄现场，直到（电子）稳定器的产生。
电子稳定器其实是用一种控制器的方法，让无刷电机来驱动摄像机和镜头进行运动，这一方法先天有着智能化的基因，而其智能化的演进速度超过了历史上任何一种影像设备。这种种特点无法不让我们想到另一个智能终端——手机的发展历程和对我们人类的影响。
于是，在距离上一次在BIRTV上与DJI对话快一年的时候，上一次和谢阗地对谈影像未来时留下的很多问题，在这次的发布会上DJI Pro都用产品给出了事实的答案，今天的RS2已经成为一个智慧型云台，成为影像移动的核心。",正面,5,帖子内容对DJI及其产品（RS2稳定器）的技术演进和行业影响表达了明确的赞赏与肯定，属于品牌正面情感。,正面,,微信公众号
"《El Pais》消息
2016年3月22日上午，位于比利时首都布鲁塞尔的扎芬特姆机场离境大楼发生了自杀式炸弹袭击事件。造成了数以百计的人员伤亡，部分设施受损严重。机场负责人
Arnaud Feist宣布，他们已经将机场关闭，并停飞3月23日（周三）及3月24日（周四）所有起降扎芬特姆机场的航班。
受此影响，西班牙境内马德里、巴塞罗那、阿里坎特、毕尔巴鄂、马拉加、瓦伦西亚、Gran canarias等主要城市往返扎芬特姆机场的60余趟航班都将在这两天暂飞。西班牙机场及航空组
织（AENA）建议广大乘客 ：“如果您已购买飞往或经停布鲁塞尔的航班，请及时和所在的航空公司联系，并商定解决措施。”
值得注意的是，虽然扎芬特姆机场已经关闭，但是有些航空公司已经找到了替代方案。比如低成本航空公司瑞安航空（Ryanair）和易捷航空（Easyjet）将会在这两天从沙勒罗瓦机场（位
于布鲁塞尔南部50公里处）起降他们的航班，并考虑使用临时的巴士服务或其他手段运送乘客至市内。",正面,1,帖子内容报道的是布鲁塞尔机场恐怖袭击事件，涉及人员伤亡和航班停飞，属于灾难性负面新闻，AI标注为“正面”完全错误。,负面,,微信公众号
"点击上方“蓝色”字体，关注我们哦！
仪器简介
LOIS-3D Plus 近红外一区
/
二区小动物
三维
光声成像系统
光声成像是一种将光学激发与超声检测相结合的新兴无创混合成像技术。在成像过程中，光声造影剂吸收非电离脉冲激光并转换为热，通过热弹性膨胀产生超声波，利用宽频超声换能器对这些声波进行检测，根据声波的到达时间即可构建光声图像。
LOIS-3D Plus 系统组成
1
LOIS-3D Plus 系统成像方式
2
LOIS-3D Plus 系统激光器
3
专用 LOIS-View 3D 数据分析软件
LOIS-3D Plus 的技术优势
NO.1
激光范围 660-2300 nm，近红外一区&二区完美覆盖
NO.2
成像深度 ≥ 4.5 cm，小鼠全身 / 脑部光声成像
NO.3
灵敏度 ~1 pmole/L (ICG)，x-y-z 等向性分辨率 150 μm
NO.4
真正的三维成像，非切片式 2D 扫描，体积信息一次呈现
LOIS-3D Plus 应用方向
LOIS-3D Plus 近红外一区/二区小动物三维光声成像系统具有高对比度、高分辨率的优点，能够提供生物组织结构、功能、代谢等方面的重要信息。在分子探针、生物纳米材料、心血管疾病、血红蛋白监测、肿瘤的早期监测、前哨淋巴结监测、脑成像及脑功能监测等领域得到了广泛的研究。
服务项目
1. 溶液光声成像，包括：近红外一区/二区有机分子探针、有机半导体、共轭聚合物、AIE材料、无机纳米材料、光敏剂等材料。
2. 活体光声成像，包括：小鼠皮下及原位肿瘤、前哨淋巴结、皮肤血管、血红蛋白、肝脏、脾脏、肾脏、腹部肠道、前后肢关节、耳朵、皮肤等器官和组织。
3. 离体光声成像，包括：小鼠的心、肝、脾、肾、肠道等离体器官，以及其它 2 cm×2 cm×2 cm 大小的生物样本。
4. 动物模型定制，包括：皮下瘤模型（裸鼠）、脑胶",负面,1,该帖子是微信公众号上对LOIS-3D Plus光声成像系统的产品介绍，内容为客观的技术参数、功能和应用方向描述，没有任何批评、抱怨或警告倾向，属于中性客观陈述。[[concepts/sentiment-analysis-dimensions.md]],中性,,微信公众号
意见领袖丨独家对话,正面,1,帖子标题仅为“意见领袖丨独家对话”，未包含任何正面或负面的评价性语言，属于客观陈述，AI标注为“正面”缺乏依据。,中性,,微信公众号
尽管话题性不如西蒙斯与米切尔，但杰森-塔特姆已经不声不响地成为了走得最远的人，目前手握赛点的凯尔特人距离东决仅一步之遥。,正面,3,帖子内容是对塔特姆和凯尔特人队比赛进展的客观陈述，没有明显的赞美、批评或情绪化语言，属于中性描述。,中性,,微信公众号
"今天早上一场凯尔特人和快船的神仙对决
看的老爹那叫一个热血沸腾
最终绿军141比133双加时战胜快船
乔治在上半场结束阶段时
因为左腿筋拉伤所以伤退
这也让快船的攻防两端都受很大影响
双方鏖战到加时赛
塔特姆一个人站出来接管了比赛
2个加时赛里
塔特姆不仅要承担防守伦纳德的任务
只让小卡得到2分
打爆了对手同时，自己拿到10分
全场更是拿到39分9篮板
单说加时赛，打爆伦纳德没什么过分的
还记得2年前，屡次被小卡教学的獭兔
这赛季不仅身材壮了
球技也长了
作为科比门徒之一的塔特姆
真的太像了！",正面,5,帖子内容完全是对凯尔特人球员塔特姆表现和成长的赞美，无任何批评或负面评价，AI标注准确。,正面,,微信公众号
"《El Pais》消息
2016年3月22日上午，位于比利时首都布鲁塞尔的扎芬特姆机场离境大楼发生了自杀式炸弹袭击事件。造成了数以百计的人员伤亡，部分设施受损严重。机场负责人
Arnaud Feist宣布，他们已经将机场关闭，并停飞3月23日（周三）及3月24日（周四）所有起降扎芬特姆机场的航班。
受此影响，西班牙境内马德里、巴塞罗那、阿里坎特、毕尔巴鄂、马拉加、瓦伦西亚、Gran canarias等主要城市往返扎芬特姆机场的60余趟航班都将在这两天暂飞。西班牙机场及航空组
织（AENA）建议广大乘客 ：“如果您已购买飞往或经停布鲁塞尔的航班，请及时和所在的航空公司联系，并商定解决措施。”
值得注意的是，虽然扎芬特姆机场已经关闭，但是有些航空公司已经找到了替代方案。比如低成本航空公司瑞安航空（Ryanair）和易捷航空（Easyjet）将会在这两天从沙勒罗瓦机场（位
于布鲁塞尔南部50公里处）起降他们的航班，并考虑使用临时的巴士服务或其他手段运送乘客至市内。",正面,1,帖子是对布鲁塞尔机场恐怖袭击事件的客观新闻报道，陈述事实（袭击、伤亡、航班调整、替代方案），没有任何赞美、批评或情绪倾向，属于中性信息。,中性,,微信公众号
"点击上方“蓝色”字体，关注我们哦！
仪器简介
LOIS-3D Plus 近红外一区
/
二区小动物
三维
光声成像系统
光声成像是一种将光学激发与超声检测相结合的新兴无创混合成像技术。在成像过程中，光声造影剂吸收非电离脉冲激光并转换为热，通过热弹性膨胀产生超声波，利用宽频超声换能器对这些声波进行检测，根据声波的到达时间即可构建光声图像。
LOIS-3D Plus 系统组成
1
LOIS-3D Plus 系统成像方式
2
LOIS-3D Plus 系统激光器
3
专用 LOIS-View 3D 数据分析软件
LOIS-3D Plus 的技术优势
NO.1
激光范围 660-2300 nm，近红外一区&二区完美覆盖
NO.2
成像深度 ≥ 4.5 cm，小鼠全身 / 脑部光声成像
NO.3
灵敏度 ~1 pmole/L (ICG)，x-y-z 等向性分辨率 150 μm
NO.4
真正的三维成像，非切片式 2D 扫描，体积信息一次呈现
LOIS-3D Plus 应用方向
LOIS-3D Plus 近红外一区/二区小动物三维光声成像系统具有高对比度、高分辨率的优点，能够提供生物组织结构、功能、代谢等方面的重要信息。在分子探针、生物纳米材料、心血管疾病、血红蛋白监测、肿瘤的早期监测、前哨淋巴结监测、脑成像及脑功能监测等领域得到了广泛的研究。
服务项目
1. 溶液光声成像，包括：近红外一区/二区有机分子探针、有机半导体、共轭聚合物、AIE材料、无机纳米材料、光敏剂等材料。
2. 活体光声成像，包括：小鼠皮下及原位肿瘤、前哨淋巴结、皮肤血管、血红蛋白、肝脏、脾脏、肾脏、腹部肠道、前后肢关节、耳朵、皮肤等器官和组织。
3. 离体光声成像，包括：小鼠的心、肝、脾、肾、肠道等离体器官，以及其它 2 cm×2 cm×2 cm 大小的生物样本。
4. 动物模型定制，包括：皮下瘤模型（裸鼠）、脑胶",负面,1,"该帖子是产品技术介绍，内容为客观陈述仪器参数、功能和应用方向，无任何批评、抱怨或推荐赞美倾向，属于中性信息。AI 误判为负面，可能是对""负面""关键词过拟合或误读了文本结构。",中性,,微信公众号
意见领袖丨独家对话,正面,1,帖子内容仅为“意见领袖丨独家对话”，属于客观陈述或标题，未包含任何赞美、批评或情感倾向，无法判断为正面。,中性,,微信公众号
尽管话题性不如西蒙斯与米切尔，但杰森-塔特姆已经不声不响地成为了走得最远的人，目前手握赛点的凯尔特人距离东决仅一步之遥。,正面,3,帖子内容是对塔特姆和凯尔特人队竞技状态的客观陈述，没有明显的赞美、批评或情绪化表达，属于事实性报道，不应标注为正面。,中性,,微信公众号
"今天早上一场凯尔特人和快船的神仙对决
看的老爹那叫一个热血沸腾
最终绿军141比133双加时战胜快船
乔治在上半场结束阶段时
因为左腿筋拉伤所以伤退
这也让快船的攻防两端都受很大影响
双方鏖战到加时赛
塔特姆一个人站出来接管了比赛
2个加时赛里
塔特姆不仅要承担防守伦纳德的任务
只让小卡得到2分
打爆了对手同时，自己拿到10分
全场更是拿到39分9篮板
单说加时赛，打爆伦纳德没什么过分的
还记得2年前，屡次被小卡教学的獭兔
这赛季不仅身材壮了
球技也长了
作为科比门徒之一的塔特姆
真的太像了！",正面,5,帖子内容为对篮球比赛的正面描述，赞扬球员表现，无任何批评或负面情绪，AI标注准确。,正面,,微信公众号
"《El Pais》消息
2016年3月22日上午，位于比利时首都布鲁塞尔的扎芬特姆机场离境大楼发生了自杀式炸弹袭击事件。造成了数以百计的人员伤亡，部分设施受损严重。机场负责人
Arnaud Feist宣布，他们已经将机场关闭，并停飞3月23日（周三）及3月24日（周四）所有起降扎芬特姆机场的航班。
受此影响，西班牙境内马德里、巴塞罗那、阿里坎特、毕尔巴鄂、马拉加、瓦伦西亚、Gran canarias等主要城市往返扎芬特姆机场的60余趟航班都将在这两天暂飞。西班牙机场及航空组
织（AENA）建议广大乘客 ：“如果您已购买飞往或经停布鲁塞尔的航班，请及时和所在的航空公司联系，并商定解决措施。”
值得注意的是，虽然扎芬特姆机场已经关闭，但是有些航空公司已经找到了替代方案。比如低成本航空公司瑞安航空（Ryanair）和易捷航空（Easyjet）将会在这两天从沙勒罗瓦机场（位
于布鲁塞尔南部50公里处）起降他们的航班，并考虑使用临时的巴士服务或其他手段运送乘客至市内。",正面,1,帖子内容报道的是布鲁塞尔机场恐怖袭击事件，涉及人员伤亡和航班停飞，属于灾难性负面新闻，AI标注为“正面”完全错误。,负面,,微信公众号
"点击上方“蓝色”字体，关注我们哦！
仪器简介
LOIS-3D Plus 近红外一区
/
二区小动物
三维
光声成像系统
光声成像是一种将光学激发与超声检测相结合的新兴无创混合成像技术。在成像过程中，光声造影剂吸收非电离脉冲激光并转换为热，通过热弹性膨胀产生超声波，利用宽频超声换能器对这些声波进行检测，根据声波的到达时间即可构建光声图像。
LOIS-3D Plus 系统组成
1
LOIS-3D Plus 系统成像方式
2
LOIS-3D Plus 系统激光器
3
专用 LOIS-View 3D 数据分析软件
LOIS-3D Plus 的技术优势
NO.1
激光范围 660-2300 nm，近红外一区&二区完美覆盖
NO.2
成像深度 ≥ 4.5 cm，小鼠全身 / 脑部光声成像
NO.3
灵敏度 ~1 pmole/L (ICG)，x-y-z 等向性分辨率 150 μm
NO.4
真正的三维成像，非切片式 2D 扫描，体积信息一次呈现
LOIS-3D Plus 应用方向
LOIS-3D Plus 近红外一区/二区小动物三维光声成像系统具有高对比度、高分辨率的优点，能够提供生物组织结构、功能、代谢等方面的重要信息。在分子探针、生物纳米材料、心血管疾病、血红蛋白监测、肿瘤的早期监测、前哨淋巴结监测、脑成像及脑功能监测等领域得到了广泛的研究。
服务项目
1. 溶液光声成像，包括：近红外一区/二区有机分子探针、有机半导体、共轭聚合物、AIE材料、无机纳米材料、光敏剂等材料。
2. 活体光声成像，包括：小鼠皮下及原位肿瘤、前哨淋巴结、皮肤血管、血红蛋白、肝脏、脾脏、肾脏、腹部肠道、前后肢关节、耳朵、皮肤等器官和组织。
3. 离体光声成像，包括：小鼠的心、肝、脾、肾、肠道等离体器官，以及其它 2 cm×2 cm×2 cm 大小的生物样本。
4. 动物模型定制，包括：皮下瘤模型（裸鼠）、脑胶",负面,5,"帖子内容为产品技术参数和功能介绍，属于客观陈述，无任何批评、抱怨或推荐倾向，AI标注为""负面""完全错误。",中性,,微信公众号
意见领袖丨独家对话,正面,1,帖子内容仅为“意见领袖丨独家对话”，属于客观陈述或标题，未包含任何赞美、批评或情感倾向，应标注为中性。,中性,,微信公众号
尽管话题性不如西蒙斯与米切尔，但杰森-塔特姆已经不声不响地成为了走得最远的人，目前手握赛点的凯尔特人距离东决仅一步之遥。,正面,3,帖子内容是对塔特姆和凯尔特人队比赛进展的客观陈述，没有明显的赞美、批评或情绪化语言，属于事实性报道，因此应标注为中性。,中性,,微信公众号
"今天早上一场凯尔特人和快船的神仙对决
看的老爹那叫一个热血沸腾
最终绿军141比133双加时战胜快船
乔治在上半场结束阶段时
因为左腿筋拉伤所以伤退
这也让快船的攻防两端都受很大影响
双方鏖战到加时赛
塔特姆一个人站出来接管了比赛
2个加时赛里
塔特姆不仅要承担防守伦纳德的任务
只让小卡得到2分
打爆了对手同时，自己拿到10分
全场更是拿到39分9篮板
单说加时赛，打爆伦纳德没什么过分的
还记得2年前，屡次被小卡教学的獭兔
这赛季不仅身材壮了
球技也长了
作为科比门徒之一的塔特姆
真的太像了！",正面,5,帖子内容为对篮球比赛的正面描述，赞扬球员表现，无批评或负面评价，符合正面情感定义。,正面,,微信公众号
"《El Pais》消息
2016年3月22日上午，位于比利时首都布鲁塞尔的扎芬特姆机场离境大楼发生了自杀式炸弹袭击事件。造成了数以百计的人员伤亡，部分设施受损严重。机场负责人
Arnaud Feist宣布，他们已经将机场关闭，并停飞3月23日（周三）及3月24日（周四）所有起降扎芬特姆机场的航班。
受此影响，西班牙境内马德里、巴塞罗那、阿里坎特、毕尔巴鄂、马拉加、瓦伦西亚、Gran canarias等主要城市往返扎芬特姆机场的60余趟航班都将在这两天暂飞。西班牙机场及航空组
织（AENA）建议广大乘客 ：“如果您已购买飞往或经停布鲁塞尔的航班，请及时和所在的航空公司联系，并商定解决措施。”
值得注意的是，虽然扎芬特姆机场已经关闭，但是有些航空公司已经找到了替代方案。比如低成本航空公司瑞安航空（Ryanair）和易捷航空（Easyjet）将会在这两天从沙勒罗瓦机场（位
于布鲁塞尔南部50公里处）起降他们的航班，并考虑使用临时的巴士服务或其他手段运送乘客至市内。",正面,1,帖子内容报道的是恐怖袭击事件，涉及人员伤亡和航班停飞，属于灾难性新闻，情感倾向明显为负面，AI将其标注为正面是完全错误的。,负面,,微信公众号
"点击上方“蓝色”字体，关注我们哦！
仪器简介
LOIS-3D Plus 近红外一区
/
二区小动物
三维
光声成像系统
光声成像是一种将光学激发与超声检测相结合的新兴无创混合成像技术。在成像过程中，光声造影剂吸收非电离脉冲激光并转换为热，通过热弹性膨胀产生超声波，利用宽频超声换能器对这些声波进行检测，根据声波的到达时间即可构建光声图像。
LOIS-3D Plus 系统组成
1
LOIS-3D Plus 系统成像方式
2
LOIS-3D Plus 系统激光器
3
专用 LOIS-View 3D 数据分析软件
LOIS-3D Plus 的技术优势
NO.1
激光范围 660-2300 nm，近红外一区&二区完美覆盖
NO.2
成像深度 ≥ 4.5 cm，小鼠全身 / 脑部光声成像
NO.3
灵敏度 ~1 pmole/L (ICG)，x-y-z 等向性分辨率 150 μm
NO.4
真正的三维成像，非切片式 2D 扫描，体积信息一次呈现
LOIS-3D Plus 应用方向
LOIS-3D Plus 近红外一区/二区小动物三维光声成像系统具有高对比度、高分辨率的优点，能够提供生物组织结构、功能、代谢等方面的重要信息。在分子探针、生物纳米材料、心血管疾病、血红蛋白监测、肿瘤的早期监测、前哨淋巴结监测、脑成像及脑功能监测等领域得到了广泛的研究。
服务项目
1. 溶液光声成像，包括：近红外一区/二区有机分子探针、有机半导体、共轭聚合物、AIE材料、无机纳米材料、光敏剂等材料。
2. 活体光声成像，包括：小鼠皮下及原位肿瘤、前哨淋巴结、皮肤血管、血红蛋白、肝脏、脾脏、肾脏、腹部肠道、前后肢关节、耳朵、皮肤等器官和组织。
3. 离体光声成像，包括：小鼠的心、肝、脾、肾、肠道等离体器官，以及其它 2 cm×2 cm×2 cm 大小的生物样本。
4. 动物模型定制，包括：皮下瘤模型（裸鼠）、脑胶",负面,1,该帖子是微信公众号上对LOIS-3D Plus光声成像系统的产品介绍，内容为客观的技术参数、功能和应用方向描述，没有任何批评、抱怨或警告倾向，属于中性客观陈述。[[concepts/sentiment-analysis-dimensions.md]],中性,,微信公众号
意见领袖丨独家对话,正面,1,帖子内容仅为“意见领袖丨独家对话”，属于客观陈述或标题，未包含任何赞美、批评或情感倾向，应标注为中性。,中性,,微信公众号
尽管话题性不如西蒙斯与米切尔，但杰森-塔特姆已经不声不响地成为了走得最远的人，目前手握赛点的凯尔特人距离东决仅一步之遥。,正面,3,帖子内容是对塔特姆和凯尔特人队竞技状态的客观陈述，没有明显的赞美、批评或情绪化表达，属于中性报道。,中性,,微信公众号
"今天早上一场凯尔特人和快船的神仙对决
看的老爹那叫一个热血沸腾
最终绿军141比133双加时战胜快船
乔治在上半场结束阶段时
因为左腿筋拉伤所以伤退
这也让快船的攻防两端都受很大影响
双方鏖战到加时赛
塔特姆一个人站出来接管了比赛
2个加时赛里
塔特姆不仅要承担防守伦纳德的任务
只让小卡得到2分
打爆了对手同时，自己拿到10分
全场更是拿到39分9篮板
单说加时赛，打爆伦纳德没什么过分的
还记得2年前，屡次被小卡教学的獭兔
这赛季不仅身材壮了
球技也长了
作为科比门徒之一的塔特姆
真的太像了！",正面,5,帖子内容为对篮球比赛的正面描述，赞扬球员表现，无任何批评或负面情绪，AI标注准确。,正面,,微信公众号
@DJI大疆创新 能不能别拿你们养的号回复我了？烦不烦？删评拉黑过一次又来，没完了是吗？好好做产品行不行？,负面,5,帖子内容明确表达了对品牌运营行为的愤怒和不满（“烦不烦”“没完了是吗”），属于典型的负面情绪发泄，AI标注准确。,负面,,微博
从DJI Mic2换到Mic3，体积和重量是最明显的改变，背夹变成分离的磁吸配件需要适应。因为体积变小，所以日常配合Pocket使用的话，Mic3发射器对充电盒的需求比Mic2更大,中性,5,帖子内容是对DJI Mic2和Mic3的客观对比描述，涉及体积、重量、配件设计和使用场景，没有表达赞美或批评倾向，符合中性定义。,中性,,微博
多谢你如此精彩耀眼 做我平淡岁月里星辰. 南京·南京奥体中心体育场,正面,3,帖子内容为文艺化表达，未涉及对品牌、产品或竞品的任何评价，属于个人情感抒发，不构成舆情情感标注对象。,中性,,微博
周末吃吃逛逛买买买,中性,5,帖子内容为日常生活的客观描述，无任何评价性语言或情感倾向，符合中性定义。,中性,,微博
别特姆找存在感了烦不烦啊有人认识你吗把互联网当大床房了天天网上发莫名其妙的微信聊天记录截图,中性,1,帖子内容包含明显的攻击性语言（“找存在感”“烦不烦”）、嘲讽（“有人认识你吗”）和贬低（“把互联网当大床房”），整体情感倾向为负面，而非中性。,负面,中性,微博
特姆的给弗荚一番主役剧！,中性,1,帖子内容“特姆的给弗荚一番主役剧”是粉丝对演员或作品获得主演机会的庆祝表达，属于推荐、赞美倾向，应标注为正面而非中性。,正面,中性,微博
我特姆每天都被zbi这个团搞得好懵逼,中性,2,帖子中的“好懵逼”表达了对该团体的困惑和无奈，带有明显的负面情绪，而非中性陈述。,负面,中性,微博
我特姆又思猴了还我票,中性,1,帖子中的“我特姆又思猴了还我票”是典型的情绪发泄，包含“还我票”的诉求和“思猴”（可能指“死猴”或谐音骂人）的负面表达，整体情感倾向明显负面，AI标注为中性属于误判。,负面,中性,微博
